id_origen,ciudad_origen,id_destino,ciudad_destino,salida,llegada,duracion(min),escalas,aerolinea,precio
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 10:55:00,2024-11-22 12:15:00,80,0,Ryanair,88.9
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 08:05:00,2024-11-24 09:20:00,75,0,Ryanair,88.9
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 11:50:00,2024-11-22 13:05:00,75,0,Iberia,178.48
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 13:45:00,2024-11-24 15:00:00,75,0,Iberia,178.48
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 07:30:00,2024-11-22 08:45:00,75,0,Iberia,135.96
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 13:45:00,2024-11-24 15:00:00,75,0,Iberia,135.96
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 20:20:00,2024-11-22 21:40:00,80,0,Ryanair,102.1
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 08:05:00,2024-11-24 09:20:00,75,0,Ryanair,102.1
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 11:50:00,2024-11-22 13:05:00,75,0,Iberia,209.0
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 13:45:00,2024-11-24 15:00:00,75,0,Iberia Express,209.0
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 07:30:00,2024-11-22 08:45:00,75,0,Iberia,241.06
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 21:45:00,2024-11-24 23:00:00,75,0,Iberia,241.06
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 07:30:00,2024-11-22 08:45:00,75,0,Iberia,161.0
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 13:45:00,2024-11-24 15:00:00,75,0,Iberia Express,161.0
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 19:50:00,2024-11-22 21:05:00,75,0,Iberia,299.96
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 13:45:00,2024-11-24 15:00:00,75,0,Iberia,299.96
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 09:25:00,2024-11-24 10:40:00,75,0,Iberia,178.48
MAD,Madrid,SCQ,Santiago de Compostela,2024-11-22 11:50:00,2024-11-22 13:05:00,75,0,Iberia,279.72
SCQ,Santiago de Compostela,MAD,Madrid,2024-11-24 21:45:00,2024-11-24 23:00:00,75,0,Iberia,279.72
